provider,model,thinking_mode,prompt_id,prompt_style,parse_family,prompt_template,horn,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
google,gemini-2.5-flash-lite,nothink,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,237,124,0.523,52,0.219,119,67,0.563,118,57,0.483
google,gemini-2.5-flash-lite,nothink,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,624,439,0.704,89,0.143,313,193,0.617,311,246,0.791
google,gemini-2.5-flash-lite,think-high,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,44,43,0.977,0,0.000,22,21,0.955,22,22,1.000
google,gemini-2.5-flash-lite,think-high,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,149,141,0.946,2,0.013,75,69,0.920,74,72,0.973
google,gemini-2.5-flash-lite,think-low,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,237,119,0.502,36,0.152,119,87,0.731,118,32,0.271
google,gemini-2.5-flash-lite,think-low,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,624,341,0.546,137,0.220,313,177,0.565,311,164,0.527
google,gemini-2.5-flash-lite,think-med,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,0,44,35,0.795,6,0.136,22,19,0.864,22,16,0.727
google,gemini-2.5-flash-lite,think-med,prompt_c012d6f2e6,cnf_v2,contradiction,prompts/_template_unified.j2,1,150,144,0.960,3,0.020,76,72,0.947,74,72,0.973
google,gemini-2.5-flash-lite,nothink,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,0,4,2,0.500,0,0.000,2,2,1.000,2,0,0.000
google,gemini-2.5-flash-lite,nothink,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,1,4,3,0.750,0,0.000,2,2,1.000,2,1,0.500
google,gemini-2.5-flash-lite,think-low,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,0,4,2,0.500,0,0.000,2,0,0.000,2,2,1.000
google,gemini-2.5-flash-lite,think-low,prompt_2376d1fca7,horn_if_then,yes_no,prompts/_template_unified.j2,1,4,4,1.000,0,0.000,2,2,1.000,2,2,1.000
google,gemini-2.5-flash-lite,nothink,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,237,113,0.477,8,0.034,119,89,0.748,118,24,0.203
google,gemini-2.5-flash-lite,nothink,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,241,152,0.631,5,0.021,121,85,0.702,120,67,0.558
google,gemini-2.5-flash-lite,think-high,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,47,39,0.830,0,0.000,24,18,0.750,23,21,0.913
google,gemini-2.5-flash-lite,think-high,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,48,44,0.917,0,0.000,24,20,0.833,24,24,1.000
google,gemini-2.5-flash-lite,think-low,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,237,121,0.511,0,0.000,119,11,0.092,118,110,0.932
google,gemini-2.5-flash-lite,think-low,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,241,151,0.627,0,0.000,121,33,0.273,120,118,0.983
google,gemini-2.5-flash-lite,think-med,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,0,48,34,0.708,0,0.000,24,13,0.542,24,21,0.875
google,gemini-2.5-flash-lite,think-med,prompt_62ba908560,horn_if_then,yes_no,prompts/_template_unified.j2,1,48,45,0.938,0,0.000,24,21,0.875,24,24,1.000
google,gemini-2.5-flash-lite,nothink,prompt_73ecab0579,horn_if_then,yes_no,,1,3,0,0.000,3,1.000,2,0,0.000,1,0,0.000
google,gemini-2.5-flash-lite,think-low,prompt_73ecab0579,horn_if_then,yes_no,,1,3,0,0.000,3,1.000,2,0,0.000,1,0,0.000
google,gemini-2.5-flash-lite,nothink,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,426,261,0.613,1,0.002,214,161,0.752,212,100,0.472
google,gemini-2.5-flash-lite,think-high,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,148,144,0.973,0,0.000,74,70,0.946,74,74,1.000
google,gemini-2.5-flash-lite,think-low,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,426,296,0.695,0,0.000,214,90,0.421,212,206,0.972
google,gemini-2.5-flash-lite,think-med,prompt_7b28aa32dc,horn_if_then,yes_no,prompts/_template_unified.j2,1,148,141,0.953,0,0.000,74,67,0.905,74,74,1.000
google,gemini-2.5-flash-lite,nothink,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,0,2,1,0.500,1,0.500,1,1,1.000,1,0,0.000
google,gemini-2.5-flash-lite,nothink,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,1,306,192,0.627,10,0.033,156,102,0.654,150,90,0.600
google,gemini-2.5-flash-lite,think-low,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,0,2,0,0.000,2,1.000,1,0,0.000,1,0,0.000
google,gemini-2.5-flash-lite,think-low,prompt_c1b2be97aa,horn_if_then,yes_no,prompts/_template_unified.j2,1,306,198,0.647,0,0.000,156,50,0.321,150,148,0.987
google,gemini-2.5-flash-lite,,prompt_c6875730a1,horn_if_then,yes_no,prompts/exp6_horn_yesno.j2,1,520,423,0.813,57,0.110,260,175,0.673,260,248,0.954
