llmlog paper figure description (sidecar; not for the article)

figure_pdf: fig_supp_sat_unsat_asymmetry.pdf
figure_id: supp_sat_unsat_asymmetry
variant: new

Header removed from PDF
- title: Supplementary: satisfiable/unsatisfiable asymmetry
- context: Subset: Horn / Non-Horn · Representation: Compact CNF + Natural Language CNF (+ If-then CNF on Horn only) · Prompt: examples-only vs algorithmic · Targets: see x-axis

Metric definition
- accuracy_mode: completed
- completed denominator: answered + unclear (excludes pending + errors)
- point inclusion threshold: completed >= 5

Numeric validation table: configuration-level accuracies (rep×prompt; aggregated over n,k)
target	subset	representation	prompt_group	prompt_label	split	total	pending	errors	answered	unclear	completed	correct	acc_completed
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Natural Language CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	Natural Language CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	2	0.027
Google gemini-3-flash-preview (minimal)	Horn	Compact CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Horn	Compact CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	75	0	75	71	0.947
Google gemini-3-flash-preview (minimal)	Horn	Compact CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	0	75	0	75	73	0.973
Google gemini-3-flash-preview (minimal)	Horn	Compact CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	0	75	0	75	70	0.933
Google gemini-3-flash-preview (minimal)	Horn	If-then CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Horn	If-then CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	75	0	75	74	0.987
Google gemini-3-flash-preview (minimal)	Horn	If-then CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	0	74	1	75	69	0.920
Google gemini-3-flash-preview (minimal)	Horn	If-then CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	0	75	0	75	73	0.973
Google gemini-3-flash-preview (minimal)	Horn	Natural Language CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Horn	Natural Language CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	75	0	75	65	0.867
Google gemini-3-flash-preview (minimal)	Horn	Natural Language CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	0	75	0	75	74	0.987
Google gemini-3-flash-preview (minimal)	Horn	Natural Language CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	0	75	0	75	68	0.907
Google gemini-3-flash-preview (minimal)	Horn	Compact CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Horn	Compact CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	57	0.760
Google gemini-3-flash-preview (minimal)	Horn	If-then CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Horn	If-then CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	71	0.947
Google gemini-3-flash-preview (minimal)	Horn	Natural Language CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Horn	Natural Language CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	51	0.680
Google gemini-3-flash-preview (minimal)	Non-Horn	Compact CNF	algorithmic	DPLL-style (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Non-Horn	Compact CNF	algorithmic	DPLL-style (direct)	Unsatisfiable	75	0	0	75	0	75	1	0.013
Google gemini-3-flash-preview (minimal)	Non-Horn	Compact CNF	algorithmic	DPLL-style (with line citations)	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Non-Horn	Compact CNF	algorithmic	DPLL-style (with line citations)	Unsatisfiable	75	0	0	75	0	75	2	0.027
Google gemini-3-flash-preview (minimal)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (direct)	Unsatisfiable	75	0	0	75	0	75	0	0.000
Google gemini-3-flash-preview (minimal)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (with line citations)	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (with line citations)	Unsatisfiable	75	0	0	75	0	75	0	0.000
Google gemini-3-flash-preview (minimal)	Non-Horn	Compact CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Non-Horn	Compact CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	2	0.027
Google gemini-3-flash-preview (minimal)	Non-Horn	Natural Language CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
Google gemini-3-flash-preview (minimal)	Non-Horn	Natural Language CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	0	0.000
Google gemini-3-pro-preview (high)	Horn	Compact CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	14	61	0	61	61	1.000
Google gemini-3-pro-preview (high)	Horn	Compact CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	6	69	0	69	69	1.000
Google gemini-3-pro-preview (high)	Horn	Compact CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	13	62	0	62	62	1.000
Google gemini-3-pro-preview (high)	Horn	Compact CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	14	60	1	61	60	0.984
Google gemini-3-pro-preview (high)	Horn	If-then CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	2	68	5	73	68	0.932
Google gemini-3-pro-preview (high)	Horn	If-then CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	73	2	75	73	0.973
Google gemini-3-pro-preview (high)	Horn	If-then CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	4	66	5	71	66	0.930
Google gemini-3-pro-preview (high)	Horn	If-then CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	5	65	5	70	65	0.929
Google gemini-3-pro-preview (high)	Horn	Natural Language CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	17	56	2	58	56	0.966
Google gemini-3-pro-preview (high)	Horn	Natural Language CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	11	63	1	64	63	0.984
Google gemini-3-pro-preview (high)	Horn	Natural Language CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	21	53	1	54	53	0.981
Google gemini-3-pro-preview (high)	Horn	Natural Language CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	21	51	3	54	51	0.944
Google gemini-3-pro-preview (high)	Horn	Compact CNF	examples	Examples-only	Satisfiable	75	0	18	56	1	57	55	0.965
Google gemini-3-pro-preview (high)	Horn	Compact CNF	examples	Examples-only	Unsatisfiable	75	0	11	63	1	64	63	0.984
Google gemini-3-pro-preview (high)	Horn	If-then CNF	examples	Examples-only	Satisfiable	75	0	3	64	8	72	64	0.889
Google gemini-3-pro-preview (high)	Horn	If-then CNF	examples	Examples-only	Unsatisfiable	75	0	5	66	4	70	66	0.943
Google gemini-3-pro-preview (high)	Horn	Natural Language CNF	examples	Examples-only	Satisfiable	75	0	19	54	2	56	52	0.929
Google gemini-3-pro-preview (high)	Horn	Natural Language CNF	examples	Examples-only	Unsatisfiable	75	0	7	67	1	68	66	0.971
Google gemini-3-pro-preview (high)	Non-Horn	Compact CNF	algorithmic	DPLL-style (direct)	Satisfiable	75	0	46	27	2	29	24	0.828
Google gemini-3-pro-preview (high)	Non-Horn	Compact CNF	algorithmic	DPLL-style (direct)	Unsatisfiable	75	0	49	24	2	26	19	0.731
Google gemini-3-pro-preview (high)	Non-Horn	Compact CNF	algorithmic	DPLL-style (with line citations)	Satisfiable	75	0	35	35	5	40	33	0.825
Google gemini-3-pro-preview (high)	Non-Horn	Compact CNF	algorithmic	DPLL-style (with line citations)	Unsatisfiable	75	0	48	24	3	27	18	0.667
Google gemini-3-pro-preview (high)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (direct)	Satisfiable	75	0	28	33	14	47	29	0.617
Google gemini-3-pro-preview (high)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (direct)	Unsatisfiable	75	0	27	29	19	48	17	0.354
Google gemini-3-pro-preview (high)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (with line citations)	Satisfiable	75	0	29	31	15	46	25	0.543
Google gemini-3-pro-preview (high)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (with line citations)	Unsatisfiable	75	0	25	30	20	50	16	0.320
Google gemini-3-pro-preview (high)	Non-Horn	Compact CNF	examples	Examples-only	Satisfiable	75	0	39	36	0	36	31	0.861
Google gemini-3-pro-preview (high)	Non-Horn	Compact CNF	examples	Examples-only	Unsatisfiable	75	0	41	34	0	34	24	0.706
Google gemini-3-pro-preview (high)	Non-Horn	Natural Language CNF	examples	Examples-only	Satisfiable	75	0	12	51	12	63	44	0.698
Google gemini-3-pro-preview (high)	Non-Horn	Natural Language CNF	examples	Examples-only	Unsatisfiable	75	0	16	50	9	59	30	0.508
OpenAI gpt-5.2 (none)	Horn	Compact CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	0	75	0	75	71	0.947
OpenAI gpt-5.2 (none)	Horn	Compact CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	75	0	75	39	0.520
OpenAI gpt-5.2 (none)	Horn	Compact CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	0	75	0	75	16	0.213
OpenAI gpt-5.2 (none)	Horn	Compact CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	0	75	0	75	69	0.920
OpenAI gpt-5.2 (none)	Horn	If-then CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	0	75	0	75	70	0.933
OpenAI gpt-5.2 (none)	Horn	If-then CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	75	0	75	58	0.773
OpenAI gpt-5.2 (none)	Horn	If-then CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	0	75	0	75	47	0.627
OpenAI gpt-5.2 (none)	Horn	If-then CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	0	75	0	75	71	0.947
OpenAI gpt-5.2 (none)	Horn	Natural Language CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	0	75	0	75	70	0.933
OpenAI gpt-5.2 (none)	Horn	Natural Language CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	75	0	75	32	0.427
OpenAI gpt-5.2 (none)	Horn	Natural Language CNF	algorithmic	Forward chaining (with line citations)	Satisfiable	75	0	0	75	0	75	17	0.227
OpenAI gpt-5.2 (none)	Horn	Natural Language CNF	algorithmic	Forward chaining (with line citations)	Unsatisfiable	75	0	0	75	0	75	68	0.907
OpenAI gpt-5.2 (none)	Horn	Compact CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	74	0.987
OpenAI gpt-5.2 (none)	Horn	Compact CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	34	0.453
OpenAI gpt-5.2 (none)	Horn	If-then CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	74	0.987
OpenAI gpt-5.2 (none)	Horn	If-then CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	54	0.720
OpenAI gpt-5.2 (none)	Horn	Natural Language CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	73	0.973
OpenAI gpt-5.2 (none)	Horn	Natural Language CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	23	0.307
OpenAI gpt-5.2 (none)	Non-Horn	Compact CNF	algorithmic	DPLL-style (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2 (none)	Non-Horn	Compact CNF	algorithmic	DPLL-style (direct)	Unsatisfiable	75	0	0	75	0	75	1	0.013
OpenAI gpt-5.2 (none)	Non-Horn	Compact CNF	algorithmic	DPLL-style (with line citations)	Satisfiable	75	0	0	75	0	75	55	0.733
OpenAI gpt-5.2 (none)	Non-Horn	Compact CNF	algorithmic	DPLL-style (with line citations)	Unsatisfiable	75	0	0	75	0	75	12	0.160
OpenAI gpt-5.2 (none)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2 (none)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (direct)	Unsatisfiable	75	0	0	75	0	75	0	0.000
OpenAI gpt-5.2 (none)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (with line citations)	Satisfiable	75	0	0	75	0	75	64	0.853
OpenAI gpt-5.2 (none)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (with line citations)	Unsatisfiable	75	0	0	75	0	75	9	0.120
OpenAI gpt-5.2 (none)	Non-Horn	Compact CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2 (none)	Non-Horn	Compact CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	0	0.000
OpenAI gpt-5.2 (none)	Non-Horn	Natural Language CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2 (none)	Non-Horn	Natural Language CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	0	0.000
OpenAI gpt-5.2-pro (high)	Horn	Compact CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2-pro (high)	Horn	Compact CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2-pro (high)	Horn	Natural Language CNF	algorithmic	Forward chaining (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2-pro (high)	Horn	Natural Language CNF	algorithmic	Forward chaining (direct)	Unsatisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2-pro (high)	Horn	Compact CNF	examples	Examples-only	Satisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2-pro (high)	Horn	Compact CNF	examples	Examples-only	Unsatisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2-pro (high)	Non-Horn	Compact CNF	algorithmic	DPLL-style (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2-pro (high)	Non-Horn	Compact CNF	algorithmic	DPLL-style (direct)	Unsatisfiable	75	0	0	75	0	75	15	0.200
OpenAI gpt-5.2-pro (high)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (direct)	Satisfiable	75	0	0	75	0	75	75	1.000
OpenAI gpt-5.2-pro (high)	Non-Horn	Natural Language CNF	algorithmic	DPLL-style (direct)	Unsatisfiable	75	0	2	73	0	73	15	0.205

Numeric validation table: bar aggregation (mean with min/max whiskers across configurations)
target	subset	prompt_group	split	n_configs	mean	min	max
Anthropic claude-opus-4-5-20251101 (none)	Horn	algorithmic	Satisfiable	6	0.984	0.933	1.000
Anthropic claude-opus-4-5-20251101 (none)	Horn	algorithmic	Unsatisfiable	6	0.916	0.893	0.947
Anthropic claude-opus-4-5-20251101 (none)	Horn	examples	Satisfiable	3	0.987	0.960	1.000
Anthropic claude-opus-4-5-20251101 (none)	Horn	examples	Unsatisfiable	3	0.836	0.747	0.960
Google gemini-3-flash-preview (minimal)	Horn	algorithmic	Satisfiable	6	0.980	0.920	1.000
Google gemini-3-flash-preview (minimal)	Horn	algorithmic	Unsatisfiable	6	0.936	0.867	0.987
Google gemini-3-flash-preview (minimal)	Horn	examples	Satisfiable	3	1.000	1.000	1.000
Google gemini-3-flash-preview (minimal)	Horn	examples	Unsatisfiable	3	0.796	0.680	0.947
Google gemini-3-pro-preview (high)	Horn	algorithmic	Satisfiable	6	0.968	0.930	1.000
Google gemini-3-pro-preview (high)	Horn	algorithmic	Unsatisfiable	6	0.969	0.929	1.000
Google gemini-3-pro-preview (high)	Horn	examples	Satisfiable	3	0.927	0.889	0.965
Google gemini-3-pro-preview (high)	Horn	examples	Unsatisfiable	3	0.966	0.943	0.984
OpenAI gpt-5.2 (none)	Horn	algorithmic	Satisfiable	6	0.647	0.213	0.947
OpenAI gpt-5.2 (none)	Horn	algorithmic	Unsatisfiable	6	0.749	0.427	0.947
OpenAI gpt-5.2 (none)	Horn	examples	Satisfiable	3	0.982	0.973	0.987
OpenAI gpt-5.2 (none)	Horn	examples	Unsatisfiable	3	0.493	0.307	0.720
OpenAI gpt-5.2-pro (high)	Horn	algorithmic	Satisfiable	2	1.000	1.000	1.000
OpenAI gpt-5.2-pro (high)	Horn	algorithmic	Unsatisfiable	2	1.000	1.000	1.000
OpenAI gpt-5.2-pro (high)	Horn	examples	Satisfiable	1	1.000	1.000	1.000
OpenAI gpt-5.2-pro (high)	Horn	examples	Unsatisfiable	1	1.000	1.000	1.000
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	algorithmic	Satisfiable	4	0.997	0.987	1.000
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	algorithmic	Unsatisfiable	4	0.017	0.013	0.027
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	examples	Satisfiable	2	1.000	1.000	1.000
Anthropic claude-opus-4-5-20251101 (none)	Non-Horn	examples	Unsatisfiable	2	0.033	0.027	0.040
Google gemini-3-flash-preview (minimal)	Non-Horn	algorithmic	Satisfiable	4	1.000	1.000	1.000
Google gemini-3-flash-preview (minimal)	Non-Horn	algorithmic	Unsatisfiable	4	0.010	0.000	0.027
Google gemini-3-flash-preview (minimal)	Non-Horn	examples	Satisfiable	2	1.000	1.000	1.000
Google gemini-3-flash-preview (minimal)	Non-Horn	examples	Unsatisfiable	2	0.013	0.000	0.027
Google gemini-3-pro-preview (high)	Non-Horn	algorithmic	Satisfiable	4	0.703	0.543	0.828
Google gemini-3-pro-preview (high)	Non-Horn	algorithmic	Unsatisfiable	4	0.518	0.320	0.731
Google gemini-3-pro-preview (high)	Non-Horn	examples	Satisfiable	2	0.780	0.698	0.861
Google gemini-3-pro-preview (high)	Non-Horn	examples	Unsatisfiable	2	0.607	0.508	0.706
OpenAI gpt-5.2 (none)	Non-Horn	algorithmic	Satisfiable	4	0.897	0.733	1.000
OpenAI gpt-5.2 (none)	Non-Horn	algorithmic	Unsatisfiable	4	0.073	0.000	0.160
OpenAI gpt-5.2 (none)	Non-Horn	examples	Satisfiable	2	1.000	1.000	1.000
OpenAI gpt-5.2 (none)	Non-Horn	examples	Unsatisfiable	2	0.000	0.000	0.000
OpenAI gpt-5.2-pro (high)	Non-Horn	algorithmic	Satisfiable	2	1.000	1.000	1.000
OpenAI gpt-5.2-pro (high)	Non-Horn	algorithmic	Unsatisfiable	2	0.203	0.200	0.205

Run sources used (suite/run)
- sat__repr-cnf_compact__subset-hornonly__prompt-examples_only__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_compact__subset-hornonly__prompt-examples_only__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-hornonly__prompt-examples_only__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-hornonly__prompt-examples_only__openai_gpt-5.2-pro__think-high / horn_ex_only_len3_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-examples_only__openai_gpt-5.2-pro__think-high / horn_ex_only_len4_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-examples_only__openai_gpt-5.2-pro__think-high / horn_ex_only_len5_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-examples_only__openai_gpt-5.2__think-none / horn_ex_only_cnf_compact_len3_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-examples_only__openai_gpt-5.2__think-none / horn_ex_only_cnf_compact_len4_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-examples_only__openai_gpt-5.2__think-none / horn_ex_only_cnf_compact_len5_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_from__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_from__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_from__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / horn_alg_from_cnf_compact_len3_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / horn_alg_from_cnf_compact_len4_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_from__openai_gpt-5.2__think-none / horn_alg_from_cnf_compact_len5_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_linear__anthropic_claude-opus-4-5-20251101__think-none / baseline_case10_len3_5_vars10_50
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_linear__google_gemini-3-flash-preview__think-minimal / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_linear__google_gemini-3-pro-preview__think-high / baseline_case10_len3_5_vars10_50_rerun_20260119
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2-pro__think-high / horn_alg_linear_cnf_compact_len3_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2-pro__think-high / horn_alg_linear_cnf_compact_len4_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2-pro__think-high / horn_alg_linear_cnf_compact_len5_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / horn_alg_linear_cnf_compact_len3_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / horn_alg_linear_cnf_compact_len4_vars10_50_case10
- sat__repr-cnf_compact__subset-hornonly__prompt-horn_alg_linear__openai_gpt-5.2__think-none / horn_alg_linear_cnf_compact_len5_vars10_50_case10
