results_relpath,prompt_id,prompt_template,prompt_style,parse_family,has_provenance
cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash-lite/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash-lite/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/final_validation_test/google/gemini-2.5-pro/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/final_validation_test/openai/gpt-5-2025-08-07/think-medium/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/final_validation_test/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/final_validation_test/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/final_validation_test/openai/gpt-5-pro-2025-10-06/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/anthropic/claude-opus-4-1-20250805/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/google/gemini-2.5-flash/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/google/gemini-2.5-flash-lite/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/google/gemini-2.5-flash-lite/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/google/gemini-2.5-pro/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/openai/gpt-5-2025-08-07/think-medium/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2037/openai/gpt-5-pro-2025-10-06/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/google/gemini-2.5-flash/think-med/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/google/gemini-2.5-flash-lite/nothink/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/google/gemini-2.5-flash-lite/think-low/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/google/gemini-2.5-pro/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/openai/gpt-5-2025-08-07/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/openai/gpt-5-2025-08-07/think-medium/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/smoke_20251020_2224/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/anthropic/claude-opus-4-1-20250805/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/google/gemini-2.5-flash/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/google/gemini-2.5-flash-lite/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/google/gemini-2.5-flash-lite/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/google/gemini-2.5-pro/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/openai/gpt-5-2025-08-07/think-medium/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251016_0357/openai/gpt-5-pro-2025-10-06/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/google/gemini-2.5-flash/think-med/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/google/gemini-2.5-flash-lite/nothink/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/google/gemini-2.5-flash-lite/think-low/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/google/gemini-2.5-pro/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/openai/gpt-5-2025-08-07/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/openai/gpt-5-2025-08-07/think-medium/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_hornonly/validation_20251020_2235/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/anthropic/claude-opus-4-1-20250805/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/google/gemini-2.5-flash/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/google/gemini-2.5-flash-lite/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/google/gemini-2.5-flash-lite/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/google/gemini-2.5-pro/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/openai/gpt-5-2025-08-07/think-medium/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/config_test/openai/gpt-5-pro-2025-10-06/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/anthropic/claude-opus-4-1-20250805/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/google/gemini-2.5-flash/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/google/gemini-2.5-flash-lite/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/google/gemini-2.5-flash-lite/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/google/gemini-2.5-pro/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/openai/gpt-5-2025-08-07/think-medium/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/final_validation_test/openai/gpt-5-pro-2025-10-06/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/anthropic/claude-opus-4-1-20250805/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/google/gemini-2.5-flash/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/google/gemini-2.5-flash-lite/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/google/gemini-2.5-flash-lite/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/google/gemini-2.5-pro/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/openai/gpt-5-2025-08-07/think-medium/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/parser_retest/openai/gpt-5-pro-2025-10-06/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/anthropic/claude-opus-4-1-20250805/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/google/gemini-2.5-flash/think-med/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/google/gemini-2.5-flash-lite/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/google/gemini-2.5-flash-lite/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/google/gemini-2.5-pro/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/openai/gpt-5-2025-08-07/think-medium/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2037/openai/gpt-5-pro-2025-10-06/think-high/results.jsonl,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/google/gemini-2.5-flash/think-med/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/google/gemini-2.5-flash-lite/nothink/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/google/gemini-2.5-flash-lite/think-low/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/google/gemini-2.5-pro/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/openai/gpt-5-2025-08-07/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/openai/gpt-5-2025-08-07/think-medium/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/smoke_20251020_2224/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/validation_20251020_2235/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/validation_20251020_2235/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/validation_20251020_2235/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/validation_20251020_2235/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/validation_20251020_2235/google/gemini-2.5-flash/think-med/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/validation_20251020_2235/google/gemini-2.5-flash-lite/nothink/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/validation_20251020_2235/google/gemini-2.5-flash-lite/think-low/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/validation_20251020_2235/google/gemini-2.5-pro/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
cnf1_con_mixed/validation_20251020_2235/openai/gpt-5-2025-08-07/think-high/results.jsonl,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,True
