experiment,run_id,provider,model,thinking_mode,prompt_id,prompt_template,prompt_style,parse_family,total,correct,accuracy,unclear,unclear_rate,sat_total,sat_correct,sat_accuracy,unsat_total,unsat_correct,unsat_accuracy
anthropic_cheap_horn_yn_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,prompt_62ba908560,prompts/_template_unified.j2,horn_if_then,yes_no,62,53,0.8548387096774194,0,0.0,31,22,0.7096774193548387,31,31,1.0
anthropic_cheap_horn_yn_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,prompt_62ba908560,prompts/_template_unified.j2,horn_if_then,yes_no,61,60,0.9836065573770492,1,0.01639344262295082,31,30,0.967741935483871,30,30,1.0
anthropic_cheap_horn_yn_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,prompt_62ba908560,prompts/_template_unified.j2,horn_if_then,yes_no,62,52,0.8387096774193549,0,0.0,31,21,0.6774193548387096,31,31,1.0
anthropic_cheap_horn_yn_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,prompt_62ba908560,prompts/_template_unified.j2,horn_if_then,yes_no,62,61,0.9838709677419355,0,0.0,31,30,0.967741935483871,31,31,1.0
cnf1_con_hornonly,config_test,anthropic,claude-haiku-4-5-20251001,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,config_test,anthropic,claude-haiku-4-5-20251001,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,config_test,anthropic,claude-opus-4-1-20250805,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,config_test,anthropic,claude-sonnet-4-5-20250929,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,config_test,google,gemini-2.5-flash,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,config_test,google,gemini-2.5-flash-lite,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,config_test,google,gemini-2.5-flash-lite,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,config_test,google,gemini-2.5-pro,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,config_test,openai,gpt-5-2025-08-07,think-medium,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,config_test,openai,gpt-5-mini-2025-08-07,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,config_test,openai,gpt-5-nano-2025-08-07,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,config_test,openai,gpt-5-pro-2025-10-06,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,anthropic,claude-haiku-4-5-20251001,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,anthropic,claude-haiku-4-5-20251001,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,anthropic,claude-opus-4-1-20250805,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,anthropic,claude-sonnet-4-5-20250929,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,google,gemini-2.5-flash,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,google,gemini-2.5-flash-lite,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,google,gemini-2.5-flash-lite,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,google,gemini-2.5-pro,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,openai,gpt-5-2025-08-07,think-medium,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,openai,gpt-5-mini-2025-08-07,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,openai,gpt-5-nano-2025-08-07,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,final_validation_test,openai,gpt-5-pro-2025-10-06,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_hornonly,smoke_20251020_2037,anthropic,claude-haiku-4-5-20251001,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,8,1.0,0,0.0,4,4,1.0,4,4,1.0
cnf1_con_hornonly,smoke_20251020_2037,anthropic,claude-haiku-4-5-20251001,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,8,1.0,0,0.0,4,4,1.0,4,4,1.0
cnf1_con_hornonly,smoke_20251020_2037,anthropic,claude-opus-4-1-20250805,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,8,1.0,0,0.0,4,4,1.0,4,4,1.0
cnf1_con_hornonly,smoke_20251020_2037,anthropic,claude-sonnet-4-5-20250929,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,8,1.0,0,0.0,4,4,1.0,4,4,1.0
cnf1_con_hornonly,smoke_20251020_2037,google,gemini-2.5-flash,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,8,1.0,0,0.0,4,4,1.0,4,4,1.0
cnf1_con_hornonly,smoke_20251020_2037,google,gemini-2.5-flash-lite,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,5,0.625,0,0.0,4,4,1.0,4,1,0.25
cnf1_con_hornonly,smoke_20251020_2037,google,gemini-2.5-flash-lite,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,6,0.75,0,0.0,4,4,1.0,4,2,0.5
cnf1_con_hornonly,smoke_20251020_2037,google,gemini-2.5-pro,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,8,1.0,0,0.0,4,4,1.0,4,4,1.0
cnf1_con_hornonly,smoke_20251020_2037,openai,gpt-5-2025-08-07,think-medium,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,8,1.0,0,0.0,4,4,1.0,4,4,1.0
cnf1_con_hornonly,smoke_20251020_2037,openai,gpt-5-mini-2025-08-07,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,8,1.0,0,0.0,4,4,1.0,4,4,1.0
cnf1_con_hornonly,smoke_20251020_2037,openai,gpt-5-nano-2025-08-07,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,6,0.75,2,0.25,4,2,0.5,4,4,1.0
cnf1_con_hornonly,smoke_20251020_2037,openai,gpt-5-pro-2025-10-06,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,8,7,0.875,1,0.125,4,3,0.75,4,4,1.0
cnf1_con_hornonly,smoke_20251020_2224,anthropic,claude-haiku-4-5-20251001,nothink,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,5,1.0,0,0.0,3,3,1.0,2,2,1.0
cnf1_con_hornonly,smoke_20251020_2224,anthropic,claude-haiku-4-5-20251001,think-low,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,5,1.0,0,0.0,3,3,1.0,2,2,1.0
cnf1_con_hornonly,smoke_20251020_2224,anthropic,claude-haiku-4-5-20251001,think-med,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,5,1.0,0,0.0,3,3,1.0,2,2,1.0
cnf1_con_hornonly,smoke_20251020_2224,anthropic,claude-sonnet-4-5-20250929,think-high,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,5,1.0,0,0.0,3,3,1.0,2,2,1.0
cnf1_con_hornonly,smoke_20251020_2224,google,gemini-2.5-flash,think-med,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,5,1.0,0,0.0,3,3,1.0,2,2,1.0
cnf1_con_hornonly,smoke_20251020_2224,google,gemini-2.5-flash-lite,nothink,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,5,1.0,0,0.0,3,3,1.0,2,2,1.0
cnf1_con_hornonly,smoke_20251020_2224,google,gemini-2.5-flash-lite,think-low,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,4,0.8,0,0.0,3,3,1.0,2,1,0.5
cnf1_con_hornonly,smoke_20251020_2224,google,gemini-2.5-pro,think-high,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,5,1.0,0,0.0,3,3,1.0,2,2,1.0
cnf1_con_hornonly,smoke_20251020_2224,openai,gpt-5-2025-08-07,think-high,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,5,1.0,0,0.0,3,3,1.0,2,2,1.0
cnf1_con_hornonly,smoke_20251020_2224,openai,gpt-5-2025-08-07,think-medium,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,5,1.0,0,0.0,3,3,1.0,2,2,1.0
cnf1_con_hornonly,smoke_20251020_2224,openai,gpt-5-mini-2025-08-07,think-low,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,5,1.0,0,0.0,3,3,1.0,2,2,1.0
cnf1_con_hornonly,smoke_20251020_2224,openai,gpt-5-nano-2025-08-07,nothink,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,5,4,0.8,1,0.2,3,2,0.6666666666666666,2,2,1.0
cnf1_con_hornonly,validation_20251016_0357,anthropic,claude-haiku-4-5-20251001,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,2,2,1.0,0,0.0,1,1,1.0,1,1,1.0
cnf1_con_hornonly,validation_20251016_0357,anthropic,claude-haiku-4-5-20251001,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,2,2,1.0,0,0.0,1,1,1.0,1,1,1.0
cnf1_con_hornonly,validation_20251016_0357,anthropic,claude-opus-4-1-20250805,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,1,1,1.0,0,0.0,1,1,1.0,0,0,
cnf1_con_hornonly,validation_20251016_0357,anthropic,claude-sonnet-4-5-20250929,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,2,2,1.0,0,0.0,1,1,1.0,1,1,1.0
cnf1_con_hornonly,validation_20251016_0357,google,gemini-2.5-flash,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,2,2,1.0,0,0.0,1,1,1.0,1,1,1.0
cnf1_con_hornonly,validation_20251016_0357,google,gemini-2.5-flash-lite,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,2,2,1.0,0,0.0,1,1,1.0,1,1,1.0
cnf1_con_hornonly,validation_20251016_0357,google,gemini-2.5-flash-lite,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,2,2,1.0,0,0.0,1,1,1.0,1,1,1.0
cnf1_con_hornonly,validation_20251016_0357,google,gemini-2.5-pro,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,2,2,1.0,0,0.0,1,1,1.0,1,1,1.0
cnf1_con_hornonly,validation_20251016_0357,openai,gpt-5-2025-08-07,think-medium,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,2,2,1.0,0,0.0,1,1,1.0,1,1,1.0
cnf1_con_hornonly,validation_20251016_0357,openai,gpt-5-mini-2025-08-07,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,2,2,1.0,0,0.0,1,1,1.0,1,1,1.0
cnf1_con_hornonly,validation_20251016_0357,openai,gpt-5-nano-2025-08-07,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,2,2,1.0,0,0.0,1,1,1.0,1,1,1.0
cnf1_con_hornonly,validation_20251016_0357,openai,gpt-5-pro-2025-10-06,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,1,1,1.0,0,0.0,1,1,1.0,0,0,
cnf1_con_hornonly,validation_20251020_2235,anthropic,claude-haiku-4-5-20251001,nothink,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,148,0.5441176470588235,105,0.3860294117647059,136,83,0.6102941176470589,136,65,0.47794117647058826
cnf1_con_hornonly,validation_20251020_2235,anthropic,claude-haiku-4-5-20251001,think-low,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,136,0.5,105,0.3860294117647059,136,84,0.6176470588235294,136,52,0.38235294117647056
cnf1_con_hornonly,validation_20251020_2235,anthropic,claude-haiku-4-5-20251001,think-med,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,167,0.6139705882352942,105,0.3860294117647059,136,84,0.6176470588235294,136,83,0.6102941176470589
cnf1_con_hornonly,validation_20251020_2235,anthropic,claude-sonnet-4-5-20250929,think-high,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,166,0.6102941176470589,105,0.3860294117647059,136,83,0.6102941176470589,136,83,0.6102941176470589
cnf1_con_hornonly,validation_20251020_2235,google,gemini-2.5-flash,think-med,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,214,0.7867647058823529,42,0.15441176470588236,136,94,0.6911764705882353,136,120,0.8823529411764706
cnf1_con_hornonly,validation_20251020_2235,google,gemini-2.5-flash-lite,nothink,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,172,0.6323529411764706,33,0.1213235294117647,136,74,0.5441176470588235,136,98,0.7205882352941176
cnf1_con_hornonly,validation_20251020_2235,google,gemini-2.5-flash-lite,think-low,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,151,0.5551470588235294,45,0.16544117647058823,136,83,0.6102941176470589,136,68,0.5
cnf1_con_hornonly,validation_20251020_2235,google,gemini-2.5-pro,think-high,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,186,0.6838235294117647,78,0.2867647058823529,136,69,0.5073529411764706,136,117,0.8602941176470589
cnf1_con_hornonly,validation_20251020_2235,openai,gpt-5-2025-08-07,think-high,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,163,0.5992647058823529,109,0.4007352941176471,136,80,0.5882352941176471,136,83,0.6102941176470589
cnf1_con_hornonly,validation_20251020_2235,openai,gpt-5-2025-08-07,think-medium,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,168,0.6176470588235294,104,0.38235294117647056,136,84,0.6176470588235294,136,84,0.6176470588235294
cnf1_con_hornonly,validation_20251020_2235,openai,gpt-5-mini-2025-08-07,think-low,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,159,0.5845588235294118,106,0.3897058823529412,136,83,0.6102941176470589,136,76,0.5588235294117647
cnf1_con_hornonly,validation_20251020_2235,openai,gpt-5-nano-2025-08-07,nothink,prompt_0b276d34e8,prompts/_template_unified.j2,cnf_v1,contradiction,272,73,0.26838235294117646,199,0.7316176470588235,136,27,0.19852941176470587,136,46,0.3382352941176471
cnf1_con_mixed,config_test,anthropic,claude-haiku-4-5-20251001,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,config_test,anthropic,claude-haiku-4-5-20251001,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,config_test,anthropic,claude-opus-4-1-20250805,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,config_test,anthropic,claude-sonnet-4-5-20250929,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,config_test,google,gemini-2.5-flash,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,config_test,google,gemini-2.5-flash-lite,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,config_test,google,gemini-2.5-flash-lite,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,config_test,google,gemini-2.5-pro,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,config_test,openai,gpt-5-2025-08-07,think-medium,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,config_test,openai,gpt-5-mini-2025-08-07,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,config_test,openai,gpt-5-nano-2025-08-07,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,config_test,openai,gpt-5-pro-2025-10-06,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,anthropic,claude-haiku-4-5-20251001,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,anthropic,claude-haiku-4-5-20251001,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,anthropic,claude-opus-4-1-20250805,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,anthropic,claude-sonnet-4-5-20250929,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,google,gemini-2.5-flash,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,google,gemini-2.5-flash-lite,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,google,gemini-2.5-flash-lite,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,google,gemini-2.5-pro,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,openai,gpt-5-2025-08-07,think-medium,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,openai,gpt-5-mini-2025-08-07,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,openai,gpt-5-nano-2025-08-07,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,final_validation_test,openai,gpt-5-pro-2025-10-06,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,parser_retest,anthropic,claude-haiku-4-5-20251001,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,parser_retest,anthropic,claude-haiku-4-5-20251001,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,parser_retest,anthropic,claude-opus-4-1-20250805,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,parser_retest,anthropic,claude-sonnet-4-5-20250929,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,parser_retest,google,gemini-2.5-flash,think-med,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,parser_retest,google,gemini-2.5-flash-lite,nothink,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,parser_retest,google,gemini-2.5-flash-lite,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,parser_retest,google,gemini-2.5-pro,think-high,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,parser_retest,openai,gpt-5-2025-08-07,think-medium,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
cnf1_con_mixed,parser_retest,openai,gpt-5-mini-2025-08-07,think-low,prompt_21889a86a3,prompts/_template_unified.j2,cnf_v1,contradiction,3,3,1.0,0,0.0,2,2,1.0,1,1,1.0
