experiment,run_id,leaf_runs,expected_total,union_maxvars,union_maxlen,union_horn,providers,models,thinking_modes,analysis_usable_runs,analysis_unusable_runs,publication_usable_runs,publication_unusable_runs
cnf1_con_mixed,final_validation_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,12,0
cnf1_con_mixed,parser_retest,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,10,2
cnf1_con_mixed,smoke_20251020_2037,12,8,4,2,"0,1","anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,9,3
cnf1_con_mixed,smoke_20251020_2224,12,5,4,2,"0,1","anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,12,0
cnf1_con_mixed,validation_20251020_2235,12,368,"4,5,6,7,8,9,10,11,12,13,14,15","2,3,4,5","0,1","anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,0,12
cnf2_con_hornonly,config_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,6,6
cnf2_con_hornonly,final_validation_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,11,1
cnf2_con_hornonly,smoke_20251020_2037,12,8,4,"2,3",1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,10,2
cnf2_con_hornonly,smoke_20251020_2224,12,5,4,"2,3",1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,11,1
cnf2_con_hornonly,validation_20251020_2235,12,272,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","2,3,4,5",1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,0,12
cnf2_con_mixed,config_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,6,6
cnf2_con_mixed,final_validation_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,11,1
cnf2_con_mixed,smoke_20251020_2037,12,8,4,2,"0,1","anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,9,3
cnf2_con_mixed,smoke_20251020_2224,12,5,4,2,"0,1","anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,11,1
cnf2_con_mixed,validation_20251020_2235,12,384,"4,5,6,7,8,9,10,11,12,13,14,15","2,3,4,5","0,1","anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,0,12
google_cheap_cnf2_con_hornonly,cheap_20251027_2133,4,104,"4,5,6,7,8,9,10","2,3,4,5",1,google,gemini-2.5-flash-lite,"nothink,think-high,think-low,think-med",4,0,0,4
google_cheap_cnf2_con_mixed,cheap_20251027_2133,4,91,"4,5,6","2,3,4,5","0,1",google,gemini-2.5-flash-lite,"nothink,think-high,think-low,think-med",4,0,0,4
google_cheap_horn_yn_hornonly,cheap_20251027_2133,4,149,"4,5,6,7,8,9,10,11,12,13","2,3,4,5",1,google,gemini-2.5-flash-lite,"nothink,think-high,think-low,think-med",4,0,2,2
google_cheap_horn_yn_mixed,cheap_20251027_2133,4,96,"4,5,6","2,3,4,5","0,1",google,gemini-2.5-flash-lite,"nothink,think-high,think-low,think-med",4,0,2,2
horn_yn_hornonly,api_test_001,12,1,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,11,1
horn_yn_hornonly,config_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,11,1
horn_yn_hornonly,final_validation_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,9,3
horn_yn_hornonly,smoke_20251020_2037,12,8,4,"2,3",1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,9,3
horn_yn_hornonly,smoke_20251020_2224,12,5,4,"2,3",1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,12,0
horn_yn_hornonly,test_5problems,12,5,4,"2,3",1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,9,3
horn_yn_hornonly,validation_20251016_0357,12,272,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","2,3,4,5",1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,4,8
horn_yn_hornonly,validation_20251020_2235,12,272,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20","2,3,4,5",1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,8,4
horn_yn_hornonly,validation_dryrun,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",0,12,0,12
horn_yn_mixed,config_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,9,3
horn_yn_mixed,final_validation_test,12,3,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,9,3
horn_yn_mixed,smoke,12,6,4,2,"0,1","anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,0,12
horn_yn_mixed,smoke_20251020_2037,12,8,4,2,"0,1","anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,8,4
horn_yn_mixed,smoke_20251020_2224,12,5,4,2,"0,1","anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,12,0
horn_yn_mixed,streamtest_20251027_2037,4,2,15,4,"0,1",anthropic,"claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929","nothink,think-high,think-low,think-med",4,0,3,1
horn_yn_mixed,validation_20251016_0357,12,4,4,2,1,"anthropic,google,openai","claude-haiku-4-5-20251001,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07,gpt-5-pro-2025-10-06","nothink,think-high,think-low,think-med,think-medium",12,0,9,3
horn_yn_mixed,validation_20251020_2235,12,377,"4,5,6,7,8,9,10,11,12,13,14,15","2,3,4,5","0,1","anthropic,google,openai","claude-haiku-4-5-20251001,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07","nothink,think-high,think-low,think-med,think-medium",12,0,1,11
legacy_samples/exp6_horn_yesno,full-20250929-1349,9,520,"3,4,5,6,7,8,9,10,11,12,13,14,15","3,4",1,"anthropic,google,openai","claude-3-5-haiku-20241022,claude-opus-4-1-20250805,claude-sonnet-4-20250514,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-nano-2025-08-07",,9,0,1,8
legacy_samples/exp9_mixed_cnf_v1,smoke-20251014-1444,9,5,10,3,1,"anthropic,google,openai","claude-3-5-haiku-20241022,claude-opus-4-1-20250805,claude-sonnet-4-5-20250929,gemini-2.5-flash,gemini-2.5-flash-lite,gemini-2.5-pro,gpt-5-2025-08-07,gpt-5-mini-2025-08-07,gpt-5-pro-2025-10-06",,6,3,0,9
openai_cheap_cnf2_con_hornonly,cheap_20251027_2133,4,37,"4,5,6","2,3,4,5",1,openai,gpt-5-nano-2025-08-07,"nothink,think-high,think-low,think-medium",4,0,0,4
openai_cheap_cnf2_con_hornonly,cheap_fix_20251027_2151,4,2,4,2,1,openai,gpt-5-nano-2025-08-07,"nothink,think-high,think-low,think-medium",3,1,1,3
openai_cheap_cnf2_con_mixed,cheap_20251027_2133,4,46,"4,5","2,3,4,5","0,1",openai,gpt-5-nano-2025-08-07,"nothink,think-high,think-low,think-medium",4,0,0,4
openai_cheap_cnf2_con_mixed,cheap_fix_20251027_2151,4,2,4,2,1,openai,gpt-5-nano-2025-08-07,"nothink,think-high,think-low,think-medium",3,1,1,3
openai_cheap_horn_yn_hornonly,cheap_20251027_2133,4,119,"4,5,6,7,8,9,10,11","2,3,4,5",1,openai,gpt-5-nano-2025-08-07,"nothink,think-high,think-low,think-medium",4,0,3,1
openai_cheap_horn_yn_hornonly,cheap_fix_20251027_2151,4,2,4,2,1,openai,gpt-5-nano-2025-08-07,"nothink,think-high,think-low,think-medium",3,1,3,1
openai_cheap_horn_yn_mixed,cheap_20251027_2133,4,31,4,"2,3,4,5","0,1",openai,gpt-5-nano-2025-08-07,"nothink,think-high,think-low,think-medium",4,0,0,4
openai_cheap_horn_yn_mixed,cheap_fix2_20251027_2157,4,1,4,2,1,openai,gpt-5-nano-2025-08-07,"nothink,think-high,think-low,think-medium",4,0,3,1
openai_cheap_horn_yn_mixed,cheap_fix3_20251027_2159,4,1,4,2,1,openai,gpt-5-nano-2025-08-07,"nothink,think-high,think-low,think-medium",4,0,4,0
openai_cheap_horn_yn_mixed,cheap_fix3_20251027_2201,4,2,4,2,1,openai,gpt-5-nano-2025-08-07,"nothink,think-high,think-low,think-medium",4,0,4,0
openai_cheap_horn_yn_mixed,cheap_fix_20251027_2151,4,2,4,2,1,openai,gpt-5-nano-2025-08-07,"nothink,think-high,think-low,think-medium",3,1,3,1
openai_gpt5_2_high_cnf2_refactor,vars10,2,32,10,3,"0,1",openai,"gpt-5.2,gpt-5.2-pro-2025-12-11",,1,1,0,2
openai_gpt5_2_high_cnf2_refactor,vars10_api_smoke,1,1,10,3,1,openai,gpt-5.2-pro-2025-12-11,,1,0,1,0
openai_gpt5_2_high_cnf2_refactor,vars10_api_tempfix,1,1,10,3,1,openai,gpt-5.2-pro-2025-12-11,,0,1,0,1
openai_gpt5_2_high_cnf2_refactor,vars10_api_tempfix2,1,1,10,3,1,openai,gpt-5.2-pro-2025-12-11,,1,0,1,0
openai_gpt5_2_high_cnf2_refactor,vars20,1,32,20,3,"0,1",openai,gpt-5.2-pro-2025-12-11,,1,0,0,1
openai_gpt5_2_high_cnf2_refactor,vars30,1,26,30,3,"0,1",openai,gpt-5.2-pro-2025-12-11,,1,0,0,1
openai_gpt5_2_high_cnf2_refactor,vars40,1,30,40,3,"0,1",openai,gpt-5.2-pro-2025-12-11,,1,0,0,1
openai_gpt5_2_high_cnf2_refactor,vars50,1,28,50,3,"0,1",openai,gpt-5.2-pro-2025-12-11,,1,0,0,1
