experiment,run_id,provider,model,thinking_mode,parser_era,run_timestamp_iso,run_timestamp_source,results_relpath,provenance_relpath,summary_relpath,total_rows,correct_rows,accuracy,unclear_rows,unclear_rate,parsed_0,parsed_1,parsed_2,group_expected_total,group_missing_rows,maxvars_set,maxlen_set,horn_set,satflag_set,missing_maxvars_vs_group,missing_maxlen_vs_group,missing_horn_vs_group,missing_meta_maxvars,missing_meta_maxlen,missing_meta_horn,missing_meta_satflag,missing_parsed_answer,provenance_exists,provenance_rows,provenance_error_rows,provenance_error_rate,provenance_full_text_empty_rows,provenance_full_text_empty_rate,analysis_usable,analysis_reason,publication_usable,publication_reason
anthropic_cheap_horn_yn_hornonly,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,anthropic_cheap_horn_yn_hornonly/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.provenance.jsonl,,109,109,1.000000,0,0.000000,54,55,0,109,0,"4,5,6,7,8,9,10","2,3,4,5",1,"0,1",,,,0,0,0,0,0,True,109,0,0.000000,0,0.000000,True,ok,True,ok
anthropic_cheap_horn_yn_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,nothink,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_horn_yn_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,anthropic_cheap_horn_yn_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,,62,53,0.854839,0,0.000000,40,22,0,62,0,"4,5","2,3,4,5","0,1","0,1",,,,0,0,0,0,0,True,62,0,0.000000,0,0.000000,True,ok,True,ok
anthropic_cheap_horn_yn_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-high,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_horn_yn_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.jsonl,anthropic_cheap_horn_yn_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-high/results.provenance.jsonl,,61,55,0.901639,1,0.016393,35,25,1,62,1,"4,5","2,3,4,5","0,1","0,1",,,,0,0,0,0,0,True,61,0,0.000000,1,0.016393,True,unclear parses: 1/61 (re-parse possible from provenance); incomplete vs group max: missing 1/62 rows,False,incomplete vs group max: missing 1/62 rows; unclear parses present (re-parse first): 1/61; empty LLM outputs present: 1/61
anthropic_cheap_horn_yn_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-low,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_horn_yn_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,anthropic_cheap_horn_yn_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,,62,52,0.838710,0,0.000000,41,21,0,62,0,"4,5","2,3,4,5","0,1","0,1",,,,0,0,0,0,0,True,62,0,0.000000,0,0.000000,True,ok,True,ok
anthropic_cheap_horn_yn_mixed,cheap_20251027_2133,anthropic,claude-haiku-4-5-20251001,think-med,post-parser-enhancement,2025-10-27T21:33:00+00:00,run_id,anthropic_cheap_horn_yn_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.jsonl,anthropic_cheap_horn_yn_mixed/cheap_20251027_2133/anthropic/claude-haiku-4-5-20251001/think-med/results.provenance.jsonl,,62,59,0.951613,0,0.000000,34,28,0,62,0,"4,5","2,3,4,5","0,1","0,1",,,,0,0,0,0,0,True,62,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,config_test,anthropic,claude-haiku-4-5-20251001,nothink,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,cnf1_con_hornonly/config_test/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,cnf1_con_hornonly/config_test/anthropic/claude-haiku-4-5-20251001/nothink/results.summary.json,3,0,0.000000,3,1.000000,0,0,3,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,unclear parses: 3/3 (re-parse possible from provenance),False,unclear parses present (re-parse first): 3/3
cnf1_con_hornonly,config_test,anthropic,claude-haiku-4-5-20251001,think-low,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,cnf1_con_hornonly/config_test/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,cnf1_con_hornonly/config_test/anthropic/claude-haiku-4-5-20251001/think-low/results.summary.json,3,1,0.333333,2,0.666667,1,0,2,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,unclear parses: 2/3 (re-parse possible from provenance),False,unclear parses present (re-parse first): 2/3
cnf1_con_hornonly,config_test,anthropic,claude-opus-4-1-20250805,think-med,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/anthropic/claude-opus-4-1-20250805/think-med/results.jsonl,cnf1_con_hornonly/config_test/anthropic/claude-opus-4-1-20250805/think-med/results.provenance.jsonl,cnf1_con_hornonly/config_test/anthropic/claude-opus-4-1-20250805/think-med/results.summary.json,3,0,0.000000,3,1.000000,0,0,3,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,unclear parses: 3/3 (re-parse possible from provenance),False,unclear parses present (re-parse first): 3/3
cnf1_con_hornonly,config_test,anthropic,claude-sonnet-4-5-20250929,think-high,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,cnf1_con_hornonly/config_test/anthropic/claude-sonnet-4-5-20250929/think-high/results.provenance.jsonl,cnf1_con_hornonly/config_test/anthropic/claude-sonnet-4-5-20250929/think-high/results.summary.json,3,1,0.333333,2,0.666667,1,0,2,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,unclear parses: 2/3 (re-parse possible from provenance),False,unclear parses present (re-parse first): 2/3
cnf1_con_hornonly,config_test,google,gemini-2.5-flash,think-med,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/google/gemini-2.5-flash/think-med/results.jsonl,cnf1_con_hornonly/config_test/google/gemini-2.5-flash/think-med/results.provenance.jsonl,cnf1_con_hornonly/config_test/google/gemini-2.5-flash/think-med/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,config_test,google,gemini-2.5-flash-lite,nothink,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/google/gemini-2.5-flash-lite/nothink/results.jsonl,cnf1_con_hornonly/config_test/google/gemini-2.5-flash-lite/nothink/results.provenance.jsonl,cnf1_con_hornonly/config_test/google/gemini-2.5-flash-lite/nothink/results.summary.json,3,1,0.333333,2,0.666667,0,1,2,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,unclear parses: 2/3 (re-parse possible from provenance),False,unclear parses present (re-parse first): 2/3
cnf1_con_hornonly,config_test,google,gemini-2.5-flash-lite,think-low,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/google/gemini-2.5-flash-lite/think-low/results.jsonl,cnf1_con_hornonly/config_test/google/gemini-2.5-flash-lite/think-low/results.provenance.jsonl,cnf1_con_hornonly/config_test/google/gemini-2.5-flash-lite/think-low/results.summary.json,3,1,0.333333,2,0.666667,1,0,2,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,unclear parses: 2/3 (re-parse possible from provenance),False,unclear parses present (re-parse first): 2/3
cnf1_con_hornonly,config_test,google,gemini-2.5-pro,think-high,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/google/gemini-2.5-pro/think-high/results.jsonl,cnf1_con_hornonly/config_test/google/gemini-2.5-pro/think-high/results.provenance.jsonl,cnf1_con_hornonly/config_test/google/gemini-2.5-pro/think-high/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,config_test,openai,gpt-5-2025-08-07,think-medium,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/openai/gpt-5-2025-08-07/think-medium/results.jsonl,cnf1_con_hornonly/config_test/openai/gpt-5-2025-08-07/think-medium/results.provenance.jsonl,cnf1_con_hornonly/config_test/openai/gpt-5-2025-08-07/think-medium/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,config_test,openai,gpt-5-mini-2025-08-07,think-low,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,cnf1_con_hornonly/config_test/openai/gpt-5-mini-2025-08-07/think-low/results.provenance.jsonl,cnf1_con_hornonly/config_test/openai/gpt-5-mini-2025-08-07/think-low/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,config_test,openai,gpt-5-nano-2025-08-07,nothink,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,cnf1_con_hornonly/config_test/openai/gpt-5-nano-2025-08-07/nothink/results.provenance.jsonl,cnf1_con_hornonly/config_test/openai/gpt-5-nano-2025-08-07/nothink/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,config_test,openai,gpt-5-pro-2025-10-06,think-high,pre-parser-enhancement,2025-10-15T22:56:20+00:00,results.summary.json,cnf1_con_hornonly/config_test/openai/gpt-5-pro-2025-10-06/think-high/results.jsonl,cnf1_con_hornonly/config_test/openai/gpt-5-pro-2025-10-06/think-high/results.provenance.jsonl,cnf1_con_hornonly/config_test/openai/gpt-5-pro-2025-10-06/think-high/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,anthropic,claude-haiku-4-5-20251001,nothink,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,cnf1_con_hornonly/final_validation_test/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/anthropic/claude-haiku-4-5-20251001/nothink/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,anthropic,claude-haiku-4-5-20251001,think-low,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,cnf1_con_hornonly/final_validation_test/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/anthropic/claude-haiku-4-5-20251001/think-low/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,anthropic,claude-opus-4-1-20250805,think-med,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/anthropic/claude-opus-4-1-20250805/think-med/results.jsonl,cnf1_con_hornonly/final_validation_test/anthropic/claude-opus-4-1-20250805/think-med/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/anthropic/claude-opus-4-1-20250805/think-med/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,anthropic,claude-sonnet-4-5-20250929,think-high,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/anthropic/claude-sonnet-4-5-20250929/think-high/results.jsonl,cnf1_con_hornonly/final_validation_test/anthropic/claude-sonnet-4-5-20250929/think-high/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/anthropic/claude-sonnet-4-5-20250929/think-high/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,google,gemini-2.5-flash,think-med,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash/think-med/results.jsonl,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash/think-med/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash/think-med/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,google,gemini-2.5-flash-lite,nothink,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash-lite/nothink/results.jsonl,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash-lite/nothink/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash-lite/nothink/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,google,gemini-2.5-flash-lite,think-low,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash-lite/think-low/results.jsonl,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash-lite/think-low/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-flash-lite/think-low/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,google,gemini-2.5-pro,think-high,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-pro/think-high/results.jsonl,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-pro/think-high/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/google/gemini-2.5-pro/think-high/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,openai,gpt-5-2025-08-07,think-medium,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/openai/gpt-5-2025-08-07/think-medium/results.jsonl,cnf1_con_hornonly/final_validation_test/openai/gpt-5-2025-08-07/think-medium/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/openai/gpt-5-2025-08-07/think-medium/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,openai,gpt-5-mini-2025-08-07,think-low,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/openai/gpt-5-mini-2025-08-07/think-low/results.jsonl,cnf1_con_hornonly/final_validation_test/openai/gpt-5-mini-2025-08-07/think-low/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/openai/gpt-5-mini-2025-08-07/think-low/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,openai,gpt-5-nano-2025-08-07,nothink,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/openai/gpt-5-nano-2025-08-07/nothink/results.jsonl,cnf1_con_hornonly/final_validation_test/openai/gpt-5-nano-2025-08-07/nothink/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/openai/gpt-5-nano-2025-08-07/nothink/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,final_validation_test,openai,gpt-5-pro-2025-10-06,think-high,pre-parser-enhancement,2025-10-15T23:24:36+00:00,results.summary.json,cnf1_con_hornonly/final_validation_test/openai/gpt-5-pro-2025-10-06/think-high/results.jsonl,cnf1_con_hornonly/final_validation_test/openai/gpt-5-pro-2025-10-06/think-high/results.provenance.jsonl,cnf1_con_hornonly/final_validation_test/openai/gpt-5-pro-2025-10-06/think-high/results.summary.json,3,3,1.000000,0,0.000000,1,2,0,3,0,4,2,1,"0,1",,,,0,0,0,0,0,True,3,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,smoke_20251020_2037,anthropic,claude-haiku-4-5-20251001,nothink,pre-parser-enhancement,2025-10-20T18:07:44+00:00,results.summary.json,cnf1_con_hornonly/smoke_20251020_2037/anthropic/claude-haiku-4-5-20251001/nothink/results.jsonl,cnf1_con_hornonly/smoke_20251020_2037/anthropic/claude-haiku-4-5-20251001/nothink/results.provenance.jsonl,cnf1_con_hornonly/smoke_20251020_2037/anthropic/claude-haiku-4-5-20251001/nothink/results.summary.json,8,8,1.000000,0,0.000000,4,4,0,8,0,4,"2,3",1,"0,1",,,,0,0,0,0,0,True,8,0,0.000000,0,0.000000,True,ok,True,ok
cnf1_con_hornonly,smoke_20251020_2037,anthropic,claude-haiku-4-5-20251001,think-low,pre-parser-enhancement,2025-10-20T18:07:44+00:00,results.summary.json,cnf1_con_hornonly/smoke_20251020_2037/anthropic/claude-haiku-4-5-20251001/think-low/results.jsonl,cnf1_con_hornonly/smoke_20251020_2037/anthropic/claude-haiku-4-5-20251001/think-low/results.provenance.jsonl,cnf1_con_hornonly/smoke_20251020_2037/anthropic/claude-haiku-4-5-20251001/think-low/results.summary.json,8,8,1.000000,0,0.000000,4,4,0,8,0,4,"2,3",1,"0,1",,,,0,0,0,0,0,True,8,0,0.000000,0,0.000000,True,ok,True,ok
